distance,predicted
0.3,0.1828260183890795
0.6,0.3839522866125041
0.9,0.4952441976601587
1.2,0.7209815768904014
1.5,0.8420104999750085
1.8,1.2661090463030575
2.1,1.0442340809429018
2.4,1.187774112667373
2.7,1.3155759040304147
3.0,1.8122268853482255
3.3,1.5537314544020484
3.6,1.7597836737440877
3.9,1.8981042600762172
4.2,2.4051615336354177
4.5,2.6510088519660635
4.8,2.828214729270791
5.1,3.074871699099312
5.4,3.3651467252174667
5.7,3.6550943561797697
6.0,4.296384979114322
6.3,5.297094209611848
6.6,5.293757727936261
6.9,4.165935875638236
7.2,6.998160641782324
7.5,4.669068518357272
7.8,6.30245803225474
8.1,6.764066896732456
8.4,6.989149700897893
